quarter,healthboard,percentage_occupancy_by_board,percent_wards_over_ninety
2016 Q4,Ayrshire and Arran,90.07365828098555,54.166666666666664
2017 Q1,Ayrshire and Arran,91.05343317524894,58.333333333333336
2017 Q2,Ayrshire and Arran,88.19191690797295,48.57142857142857
2017 Q3,Ayrshire and Arran,89.5047719410112,50.81967213114754
2017 Q4,Ayrshire and Arran,90.51331053838341,47.540983606557376
2018 Q1,Ayrshire and Arran,90.52639674388887,56.25
2018 Q2,Ayrshire and Arran,89.57785825528688,39.682539682539684
2018 Q3,Ayrshire and Arran,89.43211897579427,47.69230769230769
2018 Q4,Ayrshire and Arran,90.17147952352983,48.4375
2019 Q1,Ayrshire and Arran,91.99934483075461,62.903225806451616
2019 Q2,Ayrshire and Arran,91.66230613621038,52.459016393442624
2019 Q3,Ayrshire and Arran,91.85570864110854,56.666666666666664
2019 Q4,Ayrshire and Arran,92.05660710938714,54.09836065573771
2020 Q1,Ayrshire and Arran,87.66911450135999,39.682539682539684
2020 Q2,Ayrshire and Arran,71.45615434723737,12.5
2020 Q3,Ayrshire and Arran,86.65221603362987,32.758620689655174
2020 Q4,Ayrshire and Arran,85.93118457871282,32.142857142857146
2021 Q1,Ayrshire and Arran,85.22703847379172,31.03448275862069
2021 Q2,Ayrshire and Arran,87.29208616847103,43.333333333333336
2021 Q3,Ayrshire and Arran,89.21608105475093,52.54237288135594
2021 Q4,Ayrshire and Arran,89.09483251580082,54.71698113207547
2017 Q1,Borders,89.4234210351912,63.63636363636363
2017 Q4,Borders,86.68907453335073,56.25
2018 Q1,Borders,89.61484064072624,70.27027027027027
2018 Q2,Borders,85.10575504181014,46.875
2021 Q2,Borders,84.99042262412925,46.875
2021 Q3,Borders,85.5543710021322,56.25
2016 Q4,Borders,85.30090410976712,50
2017 Q2,Borders,85.95298539448089,48.38709677419355
2017 Q3,Borders,84.96308937667145,50
2018 Q3,Borders,86.23693608528964,56.25
2018 Q4,Borders,84.7566805215587,50
2019 Q1,Borders,79.81033471507372,48.38709677419355
2019 Q2,Borders,79.94503653059857,43.75
2019 Q3,Borders,79.00250480895642,47.05882352941176
2019 Q4,Borders,84.68553848845602,61.29032258064516
2020 Q1,Borders,77.87775220292484,42.857142857142854
2020 Q2,Borders,61.73280056968786,30
2020 Q4,Borders,80.74577147724507,37.93103448275862
2021 Q1,Borders,80.2830356824582,31.03448275862069
2021 Q4,Borders,63.926766422938016,48.38709677419355
2020 Q3,Borders,76.41855413722003,35.483870967741936
2021 Q3,Dumfries and Galloway,80.22679688414372,60
