quarter,healthboard,specialty_name,percentage_occupancy,percentage_occupancy_by_board,wards_over_ninety,percent_wards_over_ninety,percentage_occupancy_for_speciality
2016 Q4,Ayrshire and Arran,Accident & Emergency,100,90.07365828098555,39,54.166666666666664,61.91950464396285
2016 Q4,Ayrshire and Arran,Accident & Emergency,60.95238095238098,90.07365828098555,0,0,61.91950464396285
2016 Q4,Ayrshire and Arran,Accident & Emergency,61.91950464396286,90.07365828098555,0,0,61.91950464396285
2017 Q1,Ayrshire and Arran,Accident & Emergency,100,91.05343317524894,42,58.333333333333336,72.11796246648794
2017 Q1,Ayrshire and Arran,Accident & Emergency,64.50511945392493,91.05343317524894,0,0,72.11796246648794
2017 Q1,Ayrshire and Arran,Accident & Emergency,72.11796246648792,91.05343317524894,0,0,72.11796246648794
2017 Q2,Ayrshire and Arran,Accident & Emergency,100,88.19191690797295,34,48.57142857142857,100
2017 Q2,Ayrshire and Arran,Accident & Emergency,100,88.19191690797295,34,48.57142857142857,100
2017 Q2,Ayrshire and Arran,Accident & Emergency,100,88.19191690797295,34,48.57142857142857,100
2017 Q3,Ayrshire and Arran,Accident & Emergency,100,89.5047719410112,31,50.81967213114754,100
2017 Q3,Ayrshire and Arran,Accident & Emergency,100,89.5047719410112,31,50.81967213114754,100
2017 Q3,Ayrshire and Arran,Accident & Emergency,100,89.5047719410112,31,50.81967213114754,100
2017 Q4,Ayrshire and Arran,Accident & Emergency,100,90.51331053838341,29,47.540983606557376,100
2017 Q4,Ayrshire and Arran,Accident & Emergency,100,90.51331053838341,29,47.540983606557376,100
2017 Q4,Ayrshire and Arran,Accident & Emergency,100,90.51331053838341,29,47.540983606557376,100
2018 Q1,Ayrshire and Arran,Accident & Emergency,100,90.52639674388887,36,56.25,100
2018 Q1,Ayrshire and Arran,Accident & Emergency,100,90.52639674388887,36,56.25,100
2018 Q1,Ayrshire and Arran,Accident & Emergency,100,90.52639674388887,36,56.25,100
2018 Q2,Ayrshire and Arran,Accident & Emergency,100,89.57785825528688,25,39.682539682539684,100
2018 Q2,Ayrshire and Arran,Accident & Emergency,100,89.57785825528688,25,39.682539682539684,100
2018 Q2,Ayrshire and Arran,Accident & Emergency,100,89.57785825528688,25,39.682539682539684,100
2018 Q3,Ayrshire and Arran,Accident & Emergency,100,89.43211897579427,31,47.69230769230769,100
2018 Q3,Ayrshire and Arran,Accident & Emergency,100,89.43211897579427,31,47.69230769230769,100
2018 Q3,Ayrshire and Arran,Accident & Emergency,100,89.43211897579427,31,47.69230769230769,100
2018 Q4,Ayrshire and Arran,Accident & Emergency,100,90.17147952352983,31,48.4375,100
2018 Q4,Ayrshire and Arran,Accident & Emergency,100,90.17147952352983,31,48.4375,100
2018 Q4,Ayrshire and Arran,Accident & Emergency,100,90.17147952352983,31,48.4375,100
2019 Q1,Ayrshire and Arran,Accident & Emergency,100,91.99934483075461,39,62.903225806451616,100
2019 Q1,Ayrshire and Arran,Accident & Emergency,100,91.99934483075461,39,62.903225806451616,100
2019 Q1,Ayrshire and Arran,Accident & Emergency,100,91.99934483075461,39,62.903225806451616,100
2019 Q2,Ayrshire and Arran,Accident & Emergency,100,91.66230613621038,32,52.459016393442624,100
2019 Q2,Ayrshire and Arran,Accident & Emergency,100,91.66230613621038,32,52.459016393442624,100
2019 Q2,Ayrshire and Arran,Accident & Emergency,100,91.66230613621038,32,52.459016393442624,100
2019 Q3,Ayrshire and Arran,Accident & Emergency,100,91.85570864110854,34,56.666666666666664,100
2019 Q3,Ayrshire and Arran,Accident & Emergency,100,91.85570864110854,34,56.666666666666664,100
2019 Q3,Ayrshire and Arran,Accident & Emergency,100,91.85570864110854,34,56.666666666666664,100
2019 Q4,Ayrshire and Arran,Accident & Emergency,100,92.05660710938714,33,54.09836065573771,100
2019 Q4,Ayrshire and Arran,Accident & Emergency,100,92.05660710938714,33,54.09836065573771,100
2019 Q4,Ayrshire and Arran,Accident & Emergency,100,92.05660710938714,33,54.09836065573771,100
2020 Q1,Ayrshire and Arran,Accident & Emergency,100,87.66911450135999,25,39.682539682539684,100
2020 Q1,Ayrshire and Arran,Accident & Emergency,100,87.66911450135999,25,39.682539682539684,100
2020 Q1,Ayrshire and Arran,Accident & Emergency,100,87.66911450135999,25,39.682539682539684,100
2020 Q1,Ayrshire and Arran,Accident & Emergency,100,87.66911450135999,25,39.682539682539684,100
2020 Q2,Ayrshire and Arran,Accident & Emergency,100,71.45615434723737,7,12.5,100
2020 Q2,Ayrshire and Arran,Accident & Emergency,100,71.45615434723737,7,12.5,100
2020 Q2,Ayrshire and Arran,Accident & Emergency,100,71.45615434723737,7,12.5,100
2020 Q3,Ayrshire and Arran,Accident & Emergency,100,86.65221603362987,19,32.758620689655174,100
2020 Q3,Ayrshire and Arran,Accident & Emergency,100,86.65221603362987,19,32.758620689655174,100
2020 Q3,Ayrshire and Arran,Accident & Emergency,100,86.65221603362987,19,32.758620689655174,100
2020 Q4,Ayrshire and Arran,Accident & Emergency,100,85.93118457871282,18,32.142857142857146,100
2020 Q4,Ayrshire and Arran,Accident & Emergency,100,85.93118457871282,18,32.142857142857146,100
2020 Q4,Ayrshire and Arran,Accident & Emergency,100,85.93118457871282,18,32.142857142857146,100
2021 Q1,Ayrshire and Arran,Accident & Emergency,100,85.22703847379172,18,31.03448275862069,100
2021 Q1,Ayrshire and Arran,Accident & Emergency,100,85.22703847379172,18,31.03448275862069,100
2021 Q1,Ayrshire and Arran,Accident & Emergency,100,85.22703847379172,18,31.03448275862069,100
2021 Q2,Ayrshire and Arran,Accident & Emergency,100,87.29208616847103,26,43.333333333333336,100
2021 Q2,Ayrshire and Arran,Accident & Emergency,100,87.29208616847103,26,43.333333333333336,100
2021 Q2,Ayrshire and Arran,Accident & Emergency,100,87.29208616847103,26,43.333333333333336,100
2021 Q3,Ayrshire and Arran,Accident & Emergency,100,89.21608105475093,31,52.54237288135594,100
2021 Q3,Ayrshire and Arran,Accident & Emergency,100,89.21608105475093,31,52.54237288135594,100
2021 Q3,Ayrshire and Arran,Accident & Emergency,100,89.21608105475093,31,52.54237288135594,100
2021 Q4,Ayrshire and Arran,Accident & Emergency,100,89.09483251580082,29,54.71698113207547,100
2016 Q4,Ayrshire and Arran,All Acute,100,90.07365828098555,39,54.166666666666664,93.55917417854027
2016 Q4,Ayrshire and Arran,All Acute,94.34634903325926,90.07365828098555,39,54.166666666666664,93.55917417854027
2016 Q4,Ayrshire and Arran,All Acute,92.90576741254336,90.07365828098555,39,54.166666666666664,93.55917417854027
2016 Q4,Ayrshire and Arran,All Acute,93.37721146883682,90.07365828098555,39,54.166666666666664,93.55917417854027
