week_ending,total_admissions
2020-01-05,28128
2020-01-12,31106
2020-01-19,30838
2020-01-26,30890
2020-02-02,31452
2020-02-09,30614
2020-02-16,30332
2020-02-23,31132
2020-03-01,30988
2020-03-08,31166
2020-03-15,28640
2020-03-22,21026
2020-03-29,17412
2020-04-05,17664
2020-04-12,16976
2020-04-19,16738
2020-04-26,18650
2020-05-03,20844
2020-05-10,20726
2020-05-17,21020
2020-05-24,21974
2020-05-31,22016
2020-06-07,23584
2020-06-14,23238
2020-06-21,24434
2020-06-28,24716
2020-07-05,24068
2020-07-12,24150
2020-07-19,25382
2020-07-26,25336
2020-08-02,25340
2020-08-09,25476
2020-08-16,26352
2020-08-23,27618
2020-08-30,27598
2020-09-06,27624
2020-09-13,28182
2020-09-20,27576
2020-09-27,26888
2020-10-04,26670
2020-10-11,27630
2020-10-18,25782
2020-10-25,26782
2020-11-01,26198
2020-11-08,26080
2020-11-15,26464
2020-11-22,26678
2020-11-29,25832
2020-12-06,25726
2020-12-13,26200
2020-12-20,25608
2020-12-27,21944
2021-01-03,23464
2021-01-10,24304
2021-01-17,24136
2021-01-24,24414
2021-01-31,24206
2021-02-07,24296
2021-02-14,23044
2021-02-21,25864
2021-02-28,25484
2021-03-07,25582
2021-03-14,26762
2021-03-21,26648
2021-03-28,27314
2021-04-04,27130
2021-04-11,26778
2021-04-18,27778
2021-04-25,28508
2021-05-02,28736
2021-05-09,28242
2021-05-16,29828
2021-05-23,29370
2021-05-30,29584
2021-06-06,29582
2021-06-13,30132
2021-06-20,29770
2021-06-27,29212
2021-07-04,29172
2021-07-11,28446
2021-07-18,27642
2021-07-25,27556
2021-08-01,27828
2021-08-08,27444
2021-08-15,27984
2021-08-22,29000
2021-08-29,28268
2021-09-05,28310
2021-09-12,28740
2021-09-19,27976
2021-09-26,27406
2021-10-03,27276
2021-10-10,28674
2021-10-17,28168
2021-10-24,28430
2021-10-31,28928
2021-11-07,29690
2021-11-14,29760
2021-11-21,29626
2021-11-28,28806
2021-12-05,29292
2021-12-12,28822
2021-12-19,28130
2021-12-26,25976
2022-01-02,25384
2022-01-09,24620
2022-01-16,26390
2022-01-23,26786
2022-01-30,28070
2022-02-06,28460
2022-02-13,27956
2022-02-20,27486
2022-02-27,27944
2022-03-06,27908
2022-03-13,28476
2022-03-20,27670
2022-03-27,27160
2022-04-03,27392
2022-04-10,27100
2022-04-17,25984
2022-04-24,26898
2022-05-01,27848
2022-05-08,27756
2022-05-15,28818
2022-05-22,29634
2022-05-29,29328
2022-06-05,27864
2022-06-12,28708
2022-06-19,28324
2022-06-26,28236
2022-07-03,26908
2022-07-10,26234
2022-07-17,26328
2022-07-24,26880
2022-07-31,26330
2022-08-07,26472
2022-08-14,26620
2022-08-21,27146
2022-08-28,27498
2022-09-04,27824
2022-09-11,28608
2022-09-18,28094
2022-09-25,27518
2022-10-02,27778
2022-10-09,27844
2022-10-16,27208
2022-10-23,27152
