id,year_month,healthboard,department_type,attendance_greater8hrs,attendance_greater12hrs,diff_between_target_met_agg,diff_between_target_met_ep
1,2007 Jul,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
2,2007 Jul,NHS Ayrshire and Arran,Emergency Department,26,24,124,124
3,2007 Jul,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
4,2007 Jul,NHS Ayrshire and Arran,Emergency Department,3,1,175,175
5,2007 Jul,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
6,2007 Jul,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
7,2007 Jul,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
8,2007 Jul,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
9,2007 Jul,NHS Borders,Emergency Department,0,0,19,19
10,2007 Jul,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
11,2007 Jul,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
12,2007 Jul,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
13,2007 Jul,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
14,2007 Jul,NHS Dumfries and Galloway,Emergency Department,NA,NA,22,NA
15,2007 Jul,NHS Dumfries and Galloway,Emergency Department,0,0,108,108
16,2007 Jul,NHS Fife,Emergency Department,6,1,209,209
17,2007 Jul,NHS Fife,Minor Injury Unit or Other,NA,NA,0,NA
18,2007 Jul,NHS Fife,Minor Injury Unit or Other,NA,NA,0,NA
19,2007 Jul,NHS Fife,Emergency Department,2,0,68,68
20,2007 Jul,NHS Forth Valley,Minor Injury Unit or Other,0,0,4,4
21,2007 Jul,NHS Forth Valley,Emergency Department,5,1,192,192
22,2007 Jul,NHS Grampian,Emergency Department,8,0,144,144
23,2007 Jul,NHS Grampian,Emergency Department,0,0,9,9
24,2007 Jul,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
25,2007 Jul,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
26,2007 Jul,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
27,2007 Jul,NHS Grampian,Minor Injury Unit or Other,NA,NA,1,NA
28,2007 Jul,NHS Grampian,Minor Injury Unit or Other,NA,NA,6,NA
29,2007 Jul,NHS Grampian,Minor Injury Unit or Other,NA,NA,2,NA
30,2007 Jul,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
31,2007 Jul,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
32,2007 Jul,NHS Grampian,Emergency Department,1,1,75,75
33,2007 Jul,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
34,2007 Jul,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
35,2007 Jul,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
36,2007 Jul,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
37,2007 Jul,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
38,2007 Jul,NHS Grampian,Minor Injury Unit or Other,0,0,0,0
39,2007 Jul,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,1,1,28,28
40,2007 Jul,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,1,1,28,28
41,2007 Jul,NHS Greater Glasgow and Clyde,Emergency Department,1,0,45,45
42,2007 Jul,NHS Greater Glasgow and Clyde,Emergency Department,1,0,45,45
43,2007 Jul,NHS Greater Glasgow and Clyde,Emergency Department,4,0,155,155
44,2007 Jul,NHS Greater Glasgow and Clyde,Emergency Department,4,0,155,155
45,2007 Jul,NHS Greater Glasgow and Clyde,Emergency Department,6,2,249,249
46,2007 Jul,NHS Greater Glasgow and Clyde,Emergency Department,1,0,126,126
47,2007 Jul,NHS Greater Glasgow and Clyde,Emergency Department,1,0,120,120
48,2007 Jul,NHS Greater Glasgow and Clyde,Emergency Department,4,0,234,234
49,2007 Jul,NHS Greater Glasgow and Clyde,Emergency Department,1,0,39,39
50,2007 Jul,NHS Greater Glasgow and Clyde,Emergency Department,40,6,511,511
