"","quarter","healthboard","percentage_occupancy_by_board"
"1",2016 Q4,"Ayrshire and Arran",90.0736582809856
"2",2017 Q1,"Ayrshire and Arran",91.0534331752489
"3",2017 Q2,"Ayrshire and Arran",88.191916907973
"4",2017 Q3,"Ayrshire and Arran",89.5047719410112
"5",2017 Q4,"Ayrshire and Arran",90.5133105383834
"6",2018 Q1,"Ayrshire and Arran",90.5263967438889
"7",2018 Q2,"Ayrshire and Arran",89.5778582552869
"8",2018 Q3,"Ayrshire and Arran",89.4321189757943
"9",2018 Q4,"Ayrshire and Arran",90.1714795235298
"10",2019 Q1,"Ayrshire and Arran",91.9993448307546
"11",2019 Q2,"Ayrshire and Arran",91.6623061362104
"12",2019 Q3,"Ayrshire and Arran",91.8557086411085
"13",2019 Q4,"Ayrshire and Arran",92.0566071093871
"14",2020 Q1,"Ayrshire and Arran",87.66911450136
"15",2020 Q2,"Ayrshire and Arran",71.4561543472374
"16",2020 Q3,"Ayrshire and Arran",86.6522160336299
"17",2020 Q4,"Ayrshire and Arran",85.9311845787128
"18",2021 Q1,"Ayrshire and Arran",85.2270384737917
"19",2021 Q2,"Ayrshire and Arran",87.292086168471
"20",2021 Q3,"Ayrshire and Arran",89.2160810547509
"21",2021 Q4,"Ayrshire and Arran",89.0948325158008
"22",2016 Q4,"Borders",85.3009041097671
"23",2017 Q1,"Borders",89.4234210351912
"24",2017 Q2,"Borders",85.9529853944809
"25",2017 Q3,"Borders",84.9630893766714
"26",2017 Q4,"Borders",86.6890745333507
"27",2018 Q1,"Borders",89.6148406407262
"28",2018 Q2,"Borders",85.1057550418101
"29",2018 Q3,"Borders",86.2369360852896
"30",2018 Q4,"Borders",84.7566805215587
"31",2019 Q1,"Borders",79.8103347150737
"32",2019 Q2,"Borders",79.9450365305986
"33",2019 Q3,"Borders",79.0025048089564
"34",2019 Q4,"Borders",84.685538488456
"35",2020 Q1,"Borders",77.8777522029248
"36",2020 Q2,"Borders",61.7328005696879
"37",2020 Q3,"Borders",76.41855413722
"38",2020 Q4,"Borders",80.7457714772451
"39",2021 Q1,"Borders",80.2830356824582
"40",2021 Q2,"Borders",84.9904226241293
"41",2021 Q3,"Borders",85.5543710021322
"42",2021 Q4,"Borders",63.926766422938
"43",2016 Q4,"Dumfries and Galloway",72.7585302518078
"44",2017 Q1,"Dumfries and Galloway",74.3943158307508
"45",2017 Q2,"Dumfries and Galloway",75.7394976687519
"46",2017 Q3,"Dumfries and Galloway",73.3147755097112
"47",2017 Q4,"Dumfries and Galloway",72.635874028545
"48",2018 Q1,"Dumfries and Galloway",82.276251321874
"49",2018 Q2,"Dumfries and Galloway",79.4767644439856
"50",2018 Q3,"Dumfries and Galloway",79.2995881593456
"51",2018 Q4,"Dumfries and Galloway",79.6698591407396
"52",2019 Q1,"Dumfries and Galloway",82.6813702746633
"53",2019 Q2,"Dumfries and Galloway",81.9916204612103
"54",2019 Q3,"Dumfries and Galloway",81.3857534230025
"55",2019 Q4,"Dumfries and Galloway",81.7919747621105
"56",2020 Q1,"Dumfries and Galloway",80.499503804168
"57",2020 Q2,"Dumfries and Galloway",53.6395916555703
