quarter,healthboard,percentage_occupancy_by_board
2016 Q4,Ayrshire and Arran,90.07365828098555
2017 Q1,Ayrshire and Arran,91.05343317524894
2017 Q2,Ayrshire and Arran,88.19191690797295
2017 Q3,Ayrshire and Arran,89.5047719410112
2017 Q4,Ayrshire and Arran,90.51331053838341
2018 Q1,Ayrshire and Arran,90.52639674388887
2018 Q2,Ayrshire and Arran,89.57785825528688
2018 Q3,Ayrshire and Arran,89.43211897579427
2018 Q4,Ayrshire and Arran,90.17147952352983
2019 Q1,Ayrshire and Arran,91.99934483075461
2019 Q2,Ayrshire and Arran,91.66230613621038
2019 Q3,Ayrshire and Arran,91.85570864110854
2019 Q4,Ayrshire and Arran,92.05660710938714
2020 Q1,Ayrshire and Arran,87.66911450135999
2020 Q2,Ayrshire and Arran,71.45615434723737
2020 Q3,Ayrshire and Arran,86.65221603362987
2020 Q4,Ayrshire and Arran,85.93118457871282
2021 Q1,Ayrshire and Arran,85.22703847379172
2021 Q2,Ayrshire and Arran,87.29208616847103
2021 Q3,Ayrshire and Arran,89.21608105475093
2021 Q4,Ayrshire and Arran,89.09483251580082
2016 Q4,Borders,85.30090410976712
2017 Q1,Borders,89.4234210351912
2017 Q2,Borders,85.95298539448089
2017 Q3,Borders,84.96308937667145
2017 Q4,Borders,86.68907453335073
2018 Q1,Borders,89.61484064072624
2018 Q2,Borders,85.10575504181014
2018 Q3,Borders,86.23693608528964
2018 Q4,Borders,84.7566805215587
2019 Q1,Borders,79.81033471507372
2019 Q2,Borders,79.94503653059857
2019 Q3,Borders,79.00250480895642
2019 Q4,Borders,84.68553848845602
2020 Q1,Borders,77.87775220292484
2020 Q2,Borders,61.73280056968786
2020 Q3,Borders,76.41855413722003
2020 Q4,Borders,80.74577147724507
2021 Q1,Borders,80.2830356824582
2021 Q2,Borders,84.99042262412925
2021 Q3,Borders,85.5543710021322
2021 Q4,Borders,63.926766422938016
2016 Q4,Dumfries and Galloway,72.75853025180778
2017 Q1,Dumfries and Galloway,74.39431583075081
2017 Q2,Dumfries and Galloway,75.7394976687519
2017 Q3,Dumfries and Galloway,73.31477550971115
2017 Q4,Dumfries and Galloway,72.635874028545
2018 Q1,Dumfries and Galloway,82.27625132187396
2018 Q2,Dumfries and Galloway,79.47676444398559
2018 Q3,Dumfries and Galloway,79.29958815934557
2018 Q4,Dumfries and Galloway,79.66985914073962
2019 Q1,Dumfries and Galloway,82.68137027466331
2019 Q2,Dumfries and Galloway,81.9916204612103
2019 Q3,Dumfries and Galloway,81.38575342300246
2019 Q4,Dumfries and Galloway,81.79197476211053
2020 Q1,Dumfries and Galloway,80.49950380416804
2020 Q2,Dumfries and Galloway,53.63959165557035
2020 Q3,Dumfries and Galloway,72.90663092196205
2020 Q4,Dumfries and Galloway,72.7416742941632
2021 Q1,Dumfries and Galloway,73.93287682813424
2021 Q2,Dumfries and Galloway,77.46376199129442
2021 Q3,Dumfries and Galloway,80.22679688414372
2021 Q4,Dumfries and Galloway,79.89129574584604
2016 Q4,Fife,83.73172147856435
2017 Q1,Fife,83.82698695452083
2017 Q2,Fife,80.94918566573797
