quarter,healthboard,percent_wards_over_ninety
2016 Q4,Ayrshire and Arran,54.166666666666664
2017 Q1,Ayrshire and Arran,58.333333333333336
2017 Q2,Ayrshire and Arran,48.57142857142857
2017 Q3,Ayrshire and Arran,50.81967213114754
2017 Q4,Ayrshire and Arran,47.540983606557376
2018 Q1,Ayrshire and Arran,56.25
2018 Q2,Ayrshire and Arran,39.682539682539684
2018 Q3,Ayrshire and Arran,47.69230769230769
2018 Q4,Ayrshire and Arran,48.4375
2019 Q1,Ayrshire and Arran,62.903225806451616
2019 Q2,Ayrshire and Arran,52.459016393442624
2019 Q3,Ayrshire and Arran,56.666666666666664
2019 Q4,Ayrshire and Arran,54.09836065573771
2020 Q1,Ayrshire and Arran,39.682539682539684
2020 Q2,Ayrshire and Arran,12.5
2020 Q3,Ayrshire and Arran,32.758620689655174
2020 Q4,Ayrshire and Arran,32.142857142857146
2021 Q1,Ayrshire and Arran,31.03448275862069
2021 Q2,Ayrshire and Arran,43.333333333333336
2021 Q3,Ayrshire and Arran,52.54237288135594
2021 Q4,Ayrshire and Arran,54.71698113207547
2016 Q4,Borders,50
2017 Q1,Borders,63.63636363636363
2017 Q2,Borders,48.38709677419355
2017 Q3,Borders,50
2017 Q4,Borders,56.25
2018 Q1,Borders,70.27027027027027
2018 Q2,Borders,46.875
2018 Q3,Borders,56.25
2018 Q4,Borders,50
2019 Q1,Borders,48.38709677419355
2019 Q2,Borders,43.75
2019 Q3,Borders,47.05882352941176
2019 Q4,Borders,61.29032258064516
2020 Q1,Borders,42.857142857142854
2020 Q2,Borders,30
2020 Q3,Borders,35.483870967741936
2020 Q4,Borders,37.93103448275862
2021 Q1,Borders,31.03448275862069
2021 Q2,Borders,46.875
2021 Q3,Borders,56.25
2021 Q4,Borders,48.38709677419355
2016 Q4,Dumfries and Galloway,34.54545454545455
2017 Q1,Dumfries and Galloway,36.53846153846153
2017 Q2,Dumfries and Galloway,39.6551724137931
2017 Q3,Dumfries and Galloway,40
2017 Q4,Dumfries and Galloway,34.48275862068966
2018 Q1,Dumfries and Galloway,56.666666666666664
2018 Q2,Dumfries and Galloway,56.36363636363636
2018 Q3,Dumfries and Galloway,58.333333333333336
2018 Q4,Dumfries and Galloway,57.6271186440678
2019 Q1,Dumfries and Galloway,57.89473684210527
2019 Q2,Dumfries and Galloway,61.29032258064516
2019 Q3,Dumfries and Galloway,60.65573770491803
2019 Q4,Dumfries and Galloway,58.333333333333336
2020 Q1,Dumfries and Galloway,56.666666666666664
2020 Q2,Dumfries and Galloway,33.33333333333333
2020 Q3,Dumfries and Galloway,54.09836065573771
2020 Q4,Dumfries and Galloway,56.666666666666664
2021 Q1,Dumfries and Galloway,49.122807017543856
2021 Q2,Dumfries and Galloway,53.06122448979592
2021 Q3,Dumfries and Galloway,60
2021 Q4,Dumfries and Galloway,57.407407407407405
2016 Q4,Fife,47.94520547945205
2017 Q1,Fife,49.35064935064935
2017 Q2,Fife,37.03703703703704
2017 Q3,Fife,35.61643835616438
2017 Q4,Fife,40.78947368421053
2018 Q1,Fife,45.33333333333333
2018 Q2,Fife,37.878787878787875
2018 Q3,Fife,39.130434782608695
2018 Q4,Fife,42.25352112676056
2019 Q1,Fife,51.94805194805194
2019 Q2,Fife,41.66666666666667
2019 Q3,Fife,44.5945945945946
2019 Q4,Fife,47.43589743589743
2020 Q1,Fife,37.17948717948718
2020 Q2,Fife,12.903225806451612
2020 Q3,Fife,18.84057971014493
2020 Q4,Fife,30.434782608695656
2021 Q1,Fife,27.027027027027028
2021 Q2,Fife,31.57894736842105
2021 Q3,Fife,32.89473684210527
2021 Q4,Fife,34.21052631578947
2016 Q4,Forth Valley,60.97560975609756
2017 Q1,Forth Valley,47.82608695652174
2017 Q2,Forth Valley,60.86956521739131
2017 Q3,Forth Valley,46.93877551020408
2017 Q4,Forth Valley,62.5
2018 Q1,Forth Valley,60.86956521739131
2018 Q2,Forth Valley,21.73913043478261
2018 Q3,Forth Valley,53.333333333333336
2018 Q4,Forth Valley,63.04347826086957
2019 Q1,Forth Valley,50
2019 Q2,Forth Valley,26.53061224489796
2019 Q3,Forth Valley,19.565217391304348
2019 Q4,Forth Valley,29.166666666666668
2020 Q1,Forth Valley,34
2020 Q2,Forth Valley,13.043478260869565
2020 Q3,Forth Valley,17.02127659574468
2020 Q4,Forth Valley,21.27659574468085
2021 Q1,Forth Valley,26.53061224489796
2021 Q2,Forth Valley,20.454545454545457
2021 Q3,Forth Valley,30.434782608695656
2021 Q4,Forth Valley,29.411764705882355
2016 Q4,Grampian,36.45833333333333
2017 Q1,Grampian,42.57425742574257
2017 Q2,Grampian,27.55102040816326
2017 Q3,Grampian,28.57142857142857
2017 Q4,Grampian,24.242424242424242
2018 Q1,Grampian,42
2018 Q2,Grampian,31.313131313131315
2018 Q3,Grampian,25
2018 Q4,Grampian,27.722772277227726
2019 Q1,Grampian,32.69230769230769
2019 Q2,Grampian,37.86407766990291
2019 Q3,Grampian,30.303030303030305
2019 Q4,Grampian,31
2020 Q1,Grampian,18.181818181818183
2020 Q2,Grampian,13.26530612244898
2020 Q3,Grampian,22.916666666666664
2020 Q4,Grampian,24.742268041237114
2021 Q1,Grampian,33.663366336633665
2021 Q2,Grampian,31.683168316831683
2021 Q3,Grampian,41
2021 Q4,Grampian,39.39393939393939
2016 Q4,Greater Glasgow and Clyde,35.978835978835974
2017 Q1,Greater Glasgow and Clyde,44.1025641025641
2017 Q2,Greater Glasgow and Clyde,39.175257731958766
2017 Q3,Greater Glasgow and Clyde,32.98969072164948
2017 Q4,Greater Glasgow and Clyde,37.244897959183675
2018 Q1,Greater Glasgow and Clyde,45.12820512820513
2018 Q2,Greater Glasgow and Clyde,38.775510204081634
2018 Q3,Greater Glasgow and Clyde,38.11881188118812
2018 Q4,Greater Glasgow and Clyde,41.06280193236715
2019 Q1,Greater Glasgow and Clyde,43.93939393939394
2019 Q2,Greater Glasgow and Clyde,43.5
2019 Q3,Greater Glasgow and Clyde,43.203883495145625
2019 Q4,Greater Glasgow and Clyde,47.82608695652174
2020 Q1,Greater Glasgow and Clyde,39.81042654028436
2020 Q2,Greater Glasgow and Clyde,21.62162162162162
2020 Q3,Greater Glasgow and Clyde,34.63414634146341
2020 Q4,Greater Glasgow and Clyde,34.01015228426396
2021 Q1,Greater Glasgow and Clyde,31.794871794871792
2021 Q2,Greater Glasgow and Clyde,37.244897959183675
2021 Q3,Greater Glasgow and Clyde,41.62436548223351
2021 Q4,Greater Glasgow and Clyde,44.827586206896555
2016 Q4,Highland,37.17948717948718
2017 Q1,Highland,40.25974025974026
2017 Q2,Highland,45.1219512195122
2017 Q3,Highland,40.25974025974026
2017 Q4,Highland,41.77215189873418
2018 Q1,Highland,46.15384615384615
2018 Q2,Highland,39.75903614457831
2018 Q3,Highland,40
2018 Q4,Highland,40.25974025974026
2019 Q1,Highland,47.368421052631575
2019 Q2,Highland,41.02564102564102
2019 Q3,Highland,40.25974025974026
2019 Q4,Highland,39.743589743589745
2020 Q1,Highland,33.78378378378378
2020 Q2,Highland,16.666666666666664
2020 Q3,Highland,39.743589743589745
2020 Q4,Highland,42.465753424657535
2021 Q1,Highland,47.05882352941176
2021 Q2,Highland,52.112676056338024
2021 Q3,Highland,50.68493150684932
2021 Q4,Highland,46.3768115942029
2016 Q4,Lanarkshire,45.744680851063826
2017 Q1,Lanarkshire,54.83870967741935
2017 Q2,Lanarkshire,46.808510638297875
2017 Q3,Lanarkshire,42.5531914893617
2017 Q4,Lanarkshire,47.77777777777778
2018 Q1,Lanarkshire,48.35164835164835
2018 Q2,Lanarkshire,44.680851063829785
2018 Q3,Lanarkshire,45
2018 Q4,Lanarkshire,54.83870967741935
2019 Q1,Lanarkshire,54.25531914893617
2019 Q2,Lanarkshire,53.608247422680414
2019 Q3,Lanarkshire,55.55555555555556
2019 Q4,Lanarkshire,53.06122448979592
2020 Q1,Lanarkshire,34.78260869565217
2020 Q2,Lanarkshire,26.190476190476193
2020 Q3,Lanarkshire,35.55555555555556
2020 Q4,Lanarkshire,38.04347826086957
2021 Q1,Lanarkshire,38.297872340425535
2021 Q2,Lanarkshire,45.26315789473684
2021 Q3,Lanarkshire,46.391752577319586
2021 Q4,Lanarkshire,52.63157894736842
2016 Q4,Lothian,44.339622641509436
2017 Q1,Lothian,48.57142857142857
2017 Q2,Lothian,42.05607476635514
2017 Q3,Lothian,44.85981308411215
2017 Q4,Lothian,42.45283018867924
2018 Q1,Lothian,55.140186915887845
2018 Q2,Lothian,50
2018 Q3,Lothian,43.39622641509434
2018 Q4,Lothian,42.05607476635514
2019 Q1,Lothian,49.03846153846153
2019 Q2,Lothian,39.09090909090909
2019 Q3,Lothian,42.34234234234234
2019 Q4,Lothian,46.42857142857143
2020 Q1,Lothian,25.454545454545453
2020 Q2,Lothian,13.761467889908257
2020 Q3,Lothian,16.8141592920354
2020 Q4,Lothian,22.608695652173914
2021 Q1,Lothian,21.296296296296298
2021 Q2,Lothian,26.923076923076923
2021 Q3,Lothian,31.818181818181817
2021 Q4,Lothian,35.39823008849557
2016 Q4,Orkney,68.75
2017 Q1,Orkney,68.42105263157895
2017 Q2,Orkney,73.68421052631578
2017 Q3,Orkney,72.22222222222221
2017 Q4,Orkney,66.66666666666666
2018 Q1,Orkney,68.75
2018 Q2,Orkney,69.23076923076923
2018 Q3,Orkney,75
2018 Q4,Orkney,64.28571428571429
2019 Q1,Orkney,68.75
2019 Q2,Orkney,70.58823529411765
2019 Q3,Orkney,58.333333333333336
2019 Q4,Orkney,61.53846153846154
2020 Q1,Orkney,56.25
2020 Q2,Orkney,46.15384615384615
2020 Q3,Orkney,41.66666666666667
2020 Q4,Orkney,45.45454545454545
2021 Q1,Orkney,41.66666666666667
2021 Q2,Orkney,45.45454545454545
2021 Q3,Orkney,50
2021 Q4,Orkney,53.333333333333336
2016 Q4,Shetland,18.181818181818183
2017 Q1,Shetland,30.76923076923077
2017 Q2,Shetland,30.76923076923077
2017 Q3,Shetland,30
2017 Q4,Shetland,41.66666666666667
2018 Q1,Shetland,30
2018 Q2,Shetland,36.36363636363637
2018 Q3,Shetland,30
2018 Q4,Shetland,36.36363636363637
2019 Q1,Shetland,36.36363636363637
2019 Q2,Shetland,36.36363636363637
2019 Q3,Shetland,30
2019 Q4,Shetland,30
2020 Q1,Shetland,30
2020 Q2,Shetland,33.33333333333333
2020 Q3,Shetland,33.33333333333333
2020 Q4,Shetland,30
2021 Q1,Shetland,36.36363636363637
2021 Q2,Shetland,30
2021 Q3,Shetland,36.36363636363637
2021 Q4,Shetland,36.36363636363637
2016 Q4,Tayside,13.541666666666666
2017 Q1,Tayside,11
2017 Q2,Tayside,9.615384615384617
2017 Q3,Tayside,18.34862385321101
2017 Q4,Tayside,21.49532710280374
2018 Q1,Tayside,24.761904761904763
2018 Q2,Tayside,22.330097087378643
2018 Q3,Tayside,19.19191919191919
2018 Q4,Tayside,20.388349514563107
2019 Q1,Tayside,26.47058823529412
2019 Q2,Tayside,22.54901960784314
2019 Q3,Tayside,22.330097087378643
2019 Q4,Tayside,20.588235294117645
2020 Q1,Tayside,18.269230769230766
2020 Q2,Tayside,13.402061855670103
2020 Q3,Tayside,20.388349514563107
2020 Q4,Tayside,22.772277227722775
2021 Q1,Tayside,22.772277227722775
2021 Q2,Tayside,21.782178217821784
2021 Q3,Tayside,22
2021 Q4,Tayside,25.773195876288657
2016 Q4,Western Isles,29.166666666666668
2017 Q1,Western Isles,27.27272727272727
2017 Q2,Western Isles,35
2017 Q3,Western Isles,28.57142857142857
2017 Q4,Western Isles,31.818181818181817
2018 Q1,Western Isles,26.08695652173913
2018 Q2,Western Isles,33.33333333333333
2018 Q3,Western Isles,28.57142857142857
2018 Q4,Western Isles,16.666666666666664
2019 Q1,Western Isles,22.22222222222222
2019 Q2,Western Isles,10
2019 Q3,Western Isles,21.73913043478261
2019 Q4,Western Isles,32
2020 Q1,Western Isles,21.052631578947366
2020 Q2,Western Isles,11.11111111111111
2020 Q3,Western Isles,15
2020 Q4,Western Isles,25
2021 Q1,Western Isles,16.666666666666664
2021 Q2,Western Isles,16.666666666666664
2021 Q3,Western Isles,18.75
2021 Q4,Western Isles,18.75
