year_month,year,month,country,treatment_location,healthboard,hscp_name,location_name,department_type,number_of_attendances_aggregate,number_of_attendances_episode,number_meeting_target_aggregate,number_meeting_target_episode,discharge_destination_admission_to_same,discharge_destination_other_specialty,discharge_destination_residence,discharge_destination_transfer,discharge_destination_unknown,attendance_greater8hrs,attendance_greater12hrs,x_coordinate,y_coordinate,percent_target_met,percent_target_met_ep
2007-07,2007,July,Scotland,A101H,NHS Ayrshire and Arran,North Ayrshire,Arran War Memorial Hospital,Minor Injury Unit or Other,252,NA,252,NA,NA,NA,NA,NA,NA,NA,NA,203533,632121,1,NA
2007-07,2007,July,Scotland,A111H,NHS Ayrshire and Arran,East Ayrshire,University Hospital Crosshouse,Emergency Department,5414,5414,5290,5290,1985,11,3374,44,0,26,24,240159.8,638520.4,0.9770964166974511,0.9770964166974511
2007-07,2007,July,Scotland,A207H,NHS Ayrshire and Arran,NA,NA,Minor Injury Unit or Other,92,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2007-07,2007,July,Scotland,A210H,NHS Ayrshire and Arran,South Ayrshire,University Hospital Ayr,Emergency Department,3530,3530,3355,3355,106,0,3369,8,47,3,1,235861,618224,0.9504249291784702,0.9504249291784702
2007-07,2007,July,Scotland,B103H,NHS Borders,Scottish Borders,The Knoll Hospital,Minor Injury Unit or Other,20,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,378679,653306,1,NA
2007-07,2007,July,Scotland,B105H,NHS Borders,Scottish Borders,Hawick Community  Hospital,Minor Injury Unit or Other,105,NA,105,NA,NA,NA,NA,NA,NA,NA,NA,349809,614689,1,NA
2007-07,2007,July,Scotland,B114H,NHS Borders,Scottish Borders,Kelso Hospital,Minor Injury Unit or Other,31,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,372790,634491,1,NA
2007-07,2007,July,Scotland,B118H,NHS Borders,Scottish Borders,Hay Lodge Hospital,Minor Injury Unit or Other,87,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,324699,640483,1,NA
2007-07,2007,July,Scotland,B120H,NHS Borders,Scottish Borders,Borders General Hospital,Emergency Department,1823,1823,1804,1804,571,1,1033,27,191,0,0,353342,633789,0.9895776193088316,0.9895776193088316
2007-07,2007,July,Scotland,Y101H,NHS Dumfries and Galloway,Dumfries and Galloway,Castle Douglas Community Hospital,Minor Injury Unit or Other,86,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,276781,562189,1,NA
2007-07,2007,July,Scotland,Y106H,NHS Dumfries and Galloway,Dumfries and Galloway,Kirkcudbright Cottage Hospital,Minor Injury Unit or Other,83,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,268392,550781,1,NA
2007-07,2007,July,Scotland,Y109H,NHS Dumfries and Galloway,Dumfries and Galloway,Moffat Community Hospital,Minor Injury Unit or Other,7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,309357,605079,1,NA
2007-07,2007,July,Scotland,Y110H,NHS Dumfries and Galloway,Dumfries and Galloway,Newton Stewart Hospital,Minor Injury Unit or Other,85,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,240517,564668,1,NA
2007-07,2007,July,Scotland,Y144H,NHS Dumfries and Galloway,Dumfries and Galloway,Galloway Community Hospital,Emergency Department,1189,NA,1167,NA,NA,NA,NA,NA,NA,NA,NA,206341,560236,0.9814970563498738,NA
2007-07,2007,July,Scotland,Y146H,NHS Dumfries and Galloway,Dumfries and Galloway,Dumfries & Galloway Royal Infirmary,Emergency Department,2970,2970,2862,2862,900,5,1984,19,62,0,0,294130,575081,0.9636363636363636,0.9636363636363636
2007-07,2007,July,Scotland,F704H,NHS Fife,Fife,Victoria Hospital,Emergency Department,3912,3912,3703,3703,677,53,3051,33,98,6,1,327977,693093,0.9465746421267893,0.9465746421267893
2007-07,2007,July,Scotland,F708H,NHS Fife,Fife,Adamson Hospital,Minor Injury Unit or Other,174,NA,174,NA,NA,NA,NA,NA,NA,NA,NA,337144,715124,1,NA
2007-07,2007,July,Scotland,F709H,NHS Fife,Fife,St Andrews Community Hospital,Minor Injury Unit or Other,282,NA,282,NA,NA,NA,NA,NA,NA,NA,NA,350283,715321,1,NA
2007-07,2007,July,Scotland,F805H,NHS Fife,Fife,Queen Margaret Hospital,Emergency Department,3638,3638,3570,3570,762,152,2655,38,31,2,0,311292,688640,0.9813084112149533,0.9813084112149533
2007-07,2007,July,Scotland,V102H,NHS Forth Valley,Falkirk,Falkirk Community Hospital,Minor Injury Unit or Other,1772,1772,1768,1768,0,0,1283,199,290,0,0,288174,679767,0.9977426636568849,0.9977426636568849
